dataset,model_family,seed,depth,setting,constraint,method,n_subgroups,valid_gap,cost_l1_gap,regret_gap,route_accuracy_gap
adult,tree,13,3,in_domain,r2_realistic,exact_tree_milp,2,0.0,1.4034895693637182,5.6656426132938424e-09,0.0
adult,tree,13,3,in_domain,r2_realistic,fixed_blend,2,0.0,1.403489575264835,0.0,0.07692307692307687
adult,tree,13,3,in_domain,r2_realistic,fixed_blend_no_repair,2,0.0,1.403489575264835,0.0,0.07692307692307687
adult,tree,13,3,in_domain,r2_realistic,knn_mean_k5,2,0.0,1.9453574096815354,0.590086952226422,
adult,tree,13,3,in_domain,r2_realistic,learned_alpha,2,0.0,1.3704087917430128,0.03682164555149729,0.028340080971659964
adult,tree,13,3,in_domain,r2_realistic,learned_router,2,0.0,1.403489575264835,0.0,0.07692307692307687
adult,tree,13,3,in_domain,r2_realistic,learned_router_no_geometry,2,0.0,1.403489575264835,0.0,0.07692307692307687
adult,tree,13,3,in_domain,r2_realistic,learned_router_no_shift,2,0.0,1.403489575264835,0.0,0.07692307692307687
adult,tree,13,3,in_domain,r2_realistic,nn_positive_train,2,0.0,1.8807295349008522,0.5083167238921269,
adult,tree,13,3,in_domain,r2_realistic,projection_only,2,0.0,1.403489575264835,0.0,0.07692307692307687
adult,tree,13,3,in_domain,r2_realistic,rule_router,2,0.0,1.403489575264835,0.0,0.07692307692307687
adult,tree,13,3,in_domain,r2_realistic,safe_router,2,0.10526315789473684,1.8088228398196282,0.05035150235542541,0.07692307692307687
adult,tree,13,3,in_domain,r2_realistic,utility_router,2,0.0,1.403489575264835,0.0,0.07692307692307687
adult,tree,13,3,in_domain,r2_realistic,utility_router_guarded,2,0.0,1.403489575264835,0.0,0.07692307692307687
adult,tree,13,3,in_domain,r2_realistic,utility_router_no_geometry,2,0.0,1.403489575264835,0.0,0.07692307692307687
adult,tree,13,3,in_domain,r2_realistic,utility_router_no_shift,2,0.0,1.403489575264835,0.0,0.07692307692307687
bank,tree,7,3,covariate_shift,r2_realistic,cascade_exact_auto,3,0.0,2.6355621788528287,201.6681360374086,0.17142857142857143
bank,tree,7,3,covariate_shift,r2_realistic,exact_tree_milp,3,0.0,0.67651348284832,198.46776238089848,0.2857142857142857
bank,tree,7,3,covariate_shift,r2_realistic,fixed_blend,3,0.19999999999999996,1.6989424149528638,2.895138290512369,0.2857142857142857
bank,tree,7,3,covariate_shift,r2_realistic,fixed_blend_no_repair,3,0.19999999999999996,1.6989424149528638,2.895138290512369,0.2857142857142857
bank,tree,7,3,covariate_shift,r2_realistic,knn_mean_k5,3,0.0,0.5790248624188052,199.49591047481786,
bank,tree,7,3,covariate_shift,r2_realistic,learned_alpha,3,0.11904761904761907,1.84670620130697,284.0687447440183,0.11904761904761907
bank,tree,7,3,covariate_shift,r2_realistic,learned_router,3,0.19999999999999996,1.5403294387355033,0.8254755532872,0.23809523809523808
bank,tree,7,3,covariate_shift,r2_realistic,learned_router_no_geometry,3,0.2571428571428571,2.4900187739740334,197.7045693182949,0.23333333333333336
