dataset,seed,depth,setting,constraint,method,valid,abstained,cost_l1,cost_l2,sparsity,plausibility,utility,regret,route_accuracy,runtime_sec,chosen_alpha,projection_route
adult,7,3,subgroup_shift,r1_all_mutable,fixed_blend,0.9444444444444444,0.0,5.088315680026635,1.963592547859199,7.833333333333333,1.6091465613832545,61.27690988645634,3.8084931154226656,0.05555555555555555,9.397222634611252e-05,0.25,0.0
adult,7,3,subgroup_shift,r1_all_mutable,fixed_blend_no_repair,0.9444444444444444,0.0,5.088315680026635,1.963592547859199,7.833333333333333,1.6091465613832545,61.27690988645634,3.8084931154226656,0.05555555555555555,1.3488881652139955e-05,0.25,0.0
adult,7,3,subgroup_shift,r1_all_mutable,knn_mean_k5,1.0,0.0,7.30588671501662,2.2015360333261205,16.38888888888889,1.4926835053017096,8.349233685256321,-49.119183085777344,,1.1277863652341896e-06,0.0,0.0
adult,7,3,subgroup_shift,r1_all_mutable,learned_alpha,0.8888888888888888,0.0,1.1097171108063166,0.5795765111548097,7.833333333333333,1.9295296025805857,112.90192432897118,55.433507557937496,0.8333333333333334,0.00016296111668143333,0.8967992564050016,0.0
adult,7,3,subgroup_shift,r1_all_mutable,learned_router,0.9444444444444444,0.0,4.652243521028948,1.8008483172322665,7.166666666666667,1.6588753306898443,60.81496370952131,3.346546938487636,0.16666666666666666,8.132778910091824e-05,0.3333333333333333,0.1111111111111111
adult,7,3,subgroup_shift,r1_all_mutable,learned_router_no_geometry,0.9444444444444444,0.0,4.934810330673404,1.898243344363171,7.555555555555555,1.624294198376499,61.111787793763206,3.643371022729533,0.1111111111111111,8.580000657173965e-05,0.2916666666666667,0.05555555555555555
adult,7,3,subgroup_shift,r1_all_mutable,learned_router_no_shift,0.9444444444444444,0.0,4.652243521028948,1.8008483172322665,7.166666666666667,1.6588753306898443,60.81496370952131,3.346546938487636,0.16666666666666666,8.132778910091824e-05,0.3333333333333333,0.1111111111111111
adult,7,3,subgroup_shift,r1_all_mutable,nn_positive_train,1.0,0.0,6.623163634363347,2.5574491124516094,7.722222222222222,1.5069510733905718,7.235317406483044,-50.23309936455063,,9.555563641091187e-07,0.0,0.0
adult,7,3,subgroup_shift,r1_all_mutable,projection_only,0.05555555555555555,0.0,0.48377181701649774,0.48377181701649774,1.0,1.9818650751134643,945.2754960227279,887.8070792516942,0.1111111111111111,6.51667101515664e-06,1.0,1.0
adult,7,3,subgroup_shift,r1_all_mutable,rule_router,0.05555555555555555,0.0,0.48377181701649774,0.48377181701649774,1.0,1.9818650751134643,945.2754960227279,887.8070792516942,0.1111111111111111,6.51667101515664e-06,1.0,1.0
adult,7,3,subgroup_shift,r1_all_mutable,safe_router,0.9444444444444444,0.0,4.652243521028948,1.8008483172322665,7.166666666666667,1.6588753306898443,60.81496370952131,3.346546938487636,0.16666666666666666,8.132778910091824e-05,0.3333333333333333,0.1111111111111111
