dataset,seed,depth,setting,constraint,method,n_subgroups,valid_gap,cost_l1_gap,regret_gap,route_accuracy_gap
adult,7,3,in_domain,r1_all_mutable,learned_router_no_shift,2,0.18253968253968256,1.1268535892904166,0.7773305227962348,0.11904761904761904
adult,7,3,in_domain,r1_all_mutable,nn_positive_train,2,0.0,1.049106311061922,183.22555449673192,
adult,7,3,in_domain,r1_all_mutable,projection_only,2,0.007936507936507936,0.002318311854786037,174.13006260930365,0.1746031746031746
adult,7,3,in_domain,r1_all_mutable,rule_router,2,0.007936507936507936,0.002318311854786037,174.13006260930365,0.1746031746031746
adult,7,3,in_domain,r1_all_mutable,safe_router,2,0.18253968253968256,1.1268535892904166,0.7773305227962348,0.11904761904761904
adult,7,3,in_domain,r1_all_mutable,utility_router,2,0.18253968253968256,0.7915664477021203,0.4198244930817201,0.015873015873015872
adult,7,3,in_domain,r1_all_mutable,utility_router_guarded,2,0.18253968253968256,0.7915664477021203,0.4198244930817201,0.015873015873015872
adult,7,3,in_domain,r1_all_mutable,utility_router_no_geometry,2,0.18253968253968256,1.299111471799622,0.9601521260317734,0.1349206349206349
adult,7,3,in_domain,r1_all_mutable,utility_router_no_shift,2,0.18253968253968256,0.7915664477021203,0.4198244930817201,0.015873015873015872
adult,7,3,in_domain,r2_realistic,fixed_blend,2,0.0,0.0795329493549699,0.0,0.007936507936507908
adult,7,3,in_domain,r2_realistic,fixed_blend_no_repair,2,0.0,0.0795329493549699,0.0,0.007936507936507908
adult,7,3,in_domain,r2_realistic,knn_mean_k5,2,0.0,0.18875004665845463,0.14865784441096075,
adult,7,3,in_domain,r2_realistic,learned_alpha,2,0.0,0.07435364544706835,0.0007761862268968883,0.10317460317460314
adult,7,3,in_domain,r2_realistic,learned_router,2,0.0,0.0795329493549699,0.0,0.007936507936507908
adult,7,3,in_domain,r2_realistic,learned_router_no_geometry,2,0.0,0.0795329493549699,0.0,0.007936507936507908
adult,7,3,in_domain,r2_realistic,learned_router_no_shift,2,0.0,0.0795329493549699,0.0,0.007936507936507908
adult,7,3,in_domain,r2_realistic,nn_positive_train,2,0.0,1.2397914874885165,1.224526938148796,
adult,7,3,in_domain,r2_realistic,projection_only,2,0.0,0.0795329493549699,0.0,0.007936507936507908
adult,7,3,in_domain,r2_realistic,rule_router,2,0.0,0.0795329493549699,0.0,0.007936507936507908
adult,7,3,in_domain,r2_realistic,safe_router,2,0.015873015873015928,0.0626739443520703,0.0007496036017297786,0.03968253968253965
adult,7,3,in_domain,r2_realistic,utility_router,2,0.0,0.0795329493549699,0.0,0.007936507936507908
adult,7,3,in_domain,r2_realistic,utility_router_guarded,2,0.0,0.0795329493549699,0.0,0.007936507936507908
adult,7,3,in_domain,r2_realistic,utility_router_no_geometry,2,0.0,0.0795329493549699,0.0,0.007936507936507908
adult,7,3,in_domain,r2_realistic,utility_router_no_shift,2,0.0,0.0795329493549699,0.0,0.007936507936507908
