query_id,dataset,guarded_utility,cascade_utility,delta_utility,outcome
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=12,adult,2.5443914874018083,2.5443914874018083,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=13,adult,0.4803527905873002,0.4803527905873002,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=14,adult,2.674583343501199,2.674583343501199,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=15,adult,0.3831794328814161,0.3831794328814161,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=16,adult,0.3933536949757261,0.3933536949757261,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=17,adult,0.3933489584387215,0.3933489584387215,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=19,adult,2.478078188647923,2.478078188647923,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=20,adult,2.501631277865925,2.501631277865925,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=21,adult,1.3379659031695752,1.3379659031695752,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=22,adult,4.770230159754517,4.770230159754517,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=23,adult,0.705978493678763,0.705978493678763,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=24,adult,4.7477108669740575,4.7477108669740575,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=25,adult,0.4126190223832303,0.4126190223832303,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=27,adult,3.274749007138116,3.274749007138116,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=28,adult,2.368412011084343,2.368412011084343,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=29,adult,2.662020603834863,2.662020603834863,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=30,adult,2.4880646948489287,2.4880646948489287,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=31,adult,2.473231214868813,2.473231214868813,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=32,adult,0.2834291373919879,0.2834291373919879,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=34,adult,4.034105677784831,4.034105677784831,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=35,adult,0.2122899090200644,0.2122899090200644,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=36,adult,0.2891841202201437,0.2891841202201437,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=38,adult,2.480406310381852,2.480406310381852,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=39,adult,2.536457859528514,2.536457859528514,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=0,adult,2.680662120633306,2.680662120633306,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=1,adult,3.695817505739002,3.695817505739002,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=2,adult,2.5443914874018083,2.5443914874018083,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=3,adult,2.674583343501199,2.674583343501199,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=4,adult,2.478078188647923,2.478078188647923,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=5,adult,2.501631277865925,2.501631277865925,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=6,adult,4.770230159754517,4.770230159754517,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=7,adult,4.7477108669740575,4.7477108669740575,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=8,adult,3.274749007138116,3.274749007138116,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=9,adult,2.662020603834863,2.662020603834863,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=10,adult,2.4880646948489287,2.4880646948489287,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=11,adult,2.473231214868813,2.473231214868813,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=12,adult,4.034105677784831,4.034105677784831,0.0,tie
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=0,bank,1006.9861944776012,1.2821484344484495,-1005.7040460431527,better
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=4,bank,2.416418964455625,2.416418964455625,0.0,tie
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=6,bank,5.867108150435684,5.867108150435684,0.0,tie
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=7,bank,1001.9196131234928,0.5292943683791742,-1001.3903187551136,better
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=8,bank,5.400789107640836,5.400789107640836,0.0,tie
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=9,bank,5.386057331684972,5.386057331684972,0.0,tie
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=13,bank,6.3735684301723605,6.3735684301723605,0.0,tie
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=15,bank,5.592615160422612,5.592615160422612,0.0,tie
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=19,bank,5.902749401957014,5.902749401957014,0.0,tie
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=20,bank,1006.1308431304312,0.6316965523898381,-1005.4991465780414,better
bank|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=22,bank,7.626283195425668,7.626283195425668,0.0,tie
