dataset,seed,depth,setting,constraint,method,valid,cost_l1,cost_l2,sparsity,plausibility,utility,runtime_sec
adult,19,3,exemplar_mismatch,r2_realistic,dice_random,1.0,4.6578155420858165,3.127131612686664,3.1,2.8430128494482885,5.23926746950306,0.060463524982333185
adult,19,3,in_domain,r1_all_mutable,dice_random,1.0,3.9607895641391666,2.371814356857531,3.3,2.3604714832714393,4.479860286629883,0.04528649001149461
adult,19,3,in_domain,r2_realistic,dice_random,1.0,5.324073917092372,3.5813813360191666,3.05,2.7876227096995363,5.894717323547303,0.061779464996652676
adult,19,3,subgroup_shift,r1_all_mutable,dice_random,0.95,4.461985310010425,2.814629819135757,3.1578947368421053,2.795908113209503,54.78730295064226,0.05473188501200639
adult,19,3,subgroup_shift,r2_realistic,dice_random,0.95,4.316500914155368,2.876951238896421,2.9473684210526314,2.777497731306213,54.63646929515873,0.05818398501724005
bank,7,3,covariate_shift,r1_all_mutable,dice_random,1.0,4.065539781076778,2.440481892164871,3.35,2.962575941169636,4.677426172252223,0.07308678499539382
bank,7,3,covariate_shift,r2_realistic,dice_random,1.0,6.084036181074678,4.287575433441224,3.25,3.655264367304283,6.794825836170321,0.07638792999787256
bank,7,3,exemplar_mismatch,r1_all_mutable,dice_random,1.0,5.070293304601477,3.457581096659004,3.2,3.270267579928087,5.72083344159069,0.06372394000645727
bank,7,3,exemplar_mismatch,r2_realistic,dice_random,1.0,5.336886676427588,3.7672857439772423,3.0,3.494767770784511,6.0111018420452655,0.06417757000308484
bank,7,3,in_domain,r1_all_mutable,dice_random,1.0,4.734422814454199,3.0216743683748963,3.2,3.283008823240787,5.386874137940317,0.06313637498533353
bank,7,3,in_domain,r2_realistic,dice_random,1.0,5.813925607804216,4.293671952592343,2.95,3.487554623476514,6.484558801325693,0.062266719999024646
bank,7,3,subgroup_shift,r1_all_mutable,dice_random,1.0,5.532382296726428,4.1578116557404625,2.6,3.5746118388272796,6.19857407255052,0.06636980999028311
