dataset,seed,depth,setting,constraint,method,valid,abstained,cost_l1,cost_l2,sparsity,plausibility,utility,regret,route_accuracy,runtime_sec,chosen_alpha,projection_route
bank,7,3,subgroup_shift,r2_realistic,learned_alpha,1.0,0.0,0.6885603452792408,0.6885603452792408,1.0,2.7394875425287584,1.1494834766585544,0.0,0.75,5.074965883977711e-06,1.0,1.0
bank,7,3,subgroup_shift,r2_realistic,learned_router,1.0,0.0,0.6885603452792408,0.6885603452792408,1.0,2.7394875425287584,1.1494834766585544,0.0,0.75,5.074965883977711e-06,1.0,1.0
bank,7,3,subgroup_shift,r2_realistic,learned_router_no_geometry,1.0,0.0,0.6885603452792408,0.6885603452792408,1.0,2.7394875425287584,1.1494834766585544,0.0,0.75,5.074965883977711e-06,1.0,1.0
bank,7,3,subgroup_shift,r2_realistic,learned_router_no_shift,1.0,0.0,0.6885603452792408,0.6885603452792408,1.0,2.7394875425287584,1.1494834766585544,0.0,0.75,5.074965883977711e-06,1.0,1.0
bank,7,3,subgroup_shift,r2_realistic,nn_positive_train,0.75,0.0,6.481657152847127,2.4498970576366963,7.375,2.3734732009941797,257.2064281329963,256.0569446563377,,8.749921107664704e-07,0.0,0.0
bank,7,3,subgroup_shift,r2_realistic,projection_only,1.0,0.0,0.6885603452792408,0.6885603452792408,1.0,2.7394875425287584,1.1494834766585544,0.0,0.75,5.074965883977711e-06,1.0,1.0
bank,7,3,subgroup_shift,r2_realistic,rule_router,1.0,0.0,0.6885603452792408,0.6885603452792408,1.0,2.7394875425287584,1.1494834766585544,0.0,0.75,5.074965883977711e-06,1.0,1.0
bank,7,3,subgroup_shift,r2_realistic,safe_router,1.0,0.0,0.6885603452792408,0.6885603452792408,1.0,2.7394875425287584,1.1494834766585544,0.0,0.75,5.074965883977711e-06,1.0,1.0
bank,7,3,subgroup_shift,r2_realistic,utility_router,1.0,0.0,0.6885603452792408,0.6885603452792408,1.0,2.7394875425287584,1.1494834766585544,0.0,0.75,5.074965883977711e-06,1.0,1.0
bank,7,3,subgroup_shift,r2_realistic,utility_router_no_geometry,1.0,0.0,0.6885603452792408,0.6885603452792408,1.0,2.7394875425287584,1.1494834766585544,0.0,0.75,5.074965883977711e-06,1.0,1.0
bank,7,3,subgroup_shift,r2_realistic,utility_router_no_shift,1.0,0.0,0.6885603452792408,0.6885603452792408,1.0,2.7394875425287584,1.1494834766585544,0.0,0.75,5.074965883977711e-06,1.0,1.0
bank,7,4,covariate_shift,r1_all_mutable,fixed_blend,1.0,0.0,4.652187149392637,1.611408159903485,8.52,2.0337136534500475,5.383244197410144,4.856439945289719,0.2,0.00020455599296838046,0.25,0.0
bank,7,4,covariate_shift,r1_all_mutable,fixed_blend_no_repair,0.8,0.0,5.8316720473494374,1.9863478731979622,10.32,1.885186612749922,206.63045003926192,206.10364578714152,0.2,1.247198786586523e-05,0.25,0.0
bank,7,4,covariate_shift,r1_all_mutable,knn_mean_k5,1.0,0.0,7.842534137275878,2.1602981604173723,20.68,1.8198716219093698,9.149514880562284,8.62271062844186,,9.279930964112281e-07,0.0,0.0
bank,7,4,covariate_shift,r1_all_mutable,learned_alpha,1.0,0.0,0.10876791600783799,0.10537605511149076,1.88,2.480248921902791,0.5748052542932567,0.048001002172832215,0.72,0.00016136398538947106,0.8973497011962533,0.72
bank,7,4,covariate_shift,r1_all_mutable,learned_router,1.0,0.0,0.10468606551933059,0.10468606551933059,1.0,2.480787910673959,0.5268042521204245,0.0,0.68,6.543989293277264e-06,1.0,1.0
bank,7,4,covariate_shift,r1_all_mutable,learned_router_no_geometry,1.0,0.0,0.7862566770239096,0.29718509640481494,2.04,2.414510928684843,1.2504333163266361,0.7236290642062115,0.6,1.2671989388763904e-05,0.94,0.92
bank,7,4,covariate_shift,r1_all_mutable,learned_router_no_shift,1.0,0.0,0.10468606551933059,0.10468606551933059,1.0,2.480787910673959,0.5268042521204245,0.0,0.68,6.543989293277264e-06,1.0,1.0
bank,7,4,covariate_shift,r1_all_mutable,nn_positive_train,1.0,0.0,7.770045920272165,2.64746239383638,10.32,1.833959866237273,8.561139900207756,8.034335648087332,,9.359931573271751e-07,0.0,0.0
bank,7,4,covariate_shift,r1_all_mutable,projection_only,1.0,0.0,0.10468606551933059,0.10468606551933059,1.0,2.480787910673959,0.5268042521204245,0.0,0.68,6.543989293277264e-06,1.0,1.0
bank,7,4,covariate_shift,r1_all_mutable,rule_router,1.0,0.0,0.10468606551933059,0.10468606551933059,1.0,2.480787910673959,0.5268042521204245,0.0,0.68,6.543989293277264e-06,1.0,1.0
bank,7,4,covariate_shift,r1_all_mutable,safe_router,1.0,0.0,0.10468606551933059,0.10468606551933059,1.0,2.480787910673959,0.5268042521204245,0.0,0.68,6.543989293277264e-06,1.0,1.0
bank,7,4,covariate_shift,r1_all_mutable,utility_router,1.0,0.0,0.10468606551933059,0.10468606551933059,1.0,2.480787910673959,0.5268042521204245,0.0,0.68,6.543989293277264e-06,1.0,1.0
bank,7,4,covariate_shift,r1_all_mutable,utility_router_no_geometry,1.0,0.0,3.319885386921478,1.1039583672356081,6.04,2.121664553353512,3.940135069924505,3.4133308178040807,0.4,8.891598787158728e-05,0.58,0.44
bank,7,4,covariate_shift,r1_all_mutable,utility_router_no_shift,1.0,0.0,0.10468606551933059,0.10468606551933059,1.0,2.480787910673959,0.5268042521204245,0.0,0.68,6.543989293277264e-06,1.0,1.0
bank,7,4,covariate_shift,r2_realistic,fixed_blend,1.0,0.0,0.10561111753362494,0.10561111753362494,1.0,2.4812405377521602,0.527797198196449,0.0,0.68,7.339995354413986e-06,1.0,1.0
bank,7,4,covariate_shift,r2_realistic,fixed_blend_no_repair,1.0,0.0,0.10561111753362494,0.10561111753362494,1.0,2.4812405377521602,0.527797198196449,0.0,0.68,4.251990467309952e-06,1.0,1.0
