dataset,seed,depth,setting,constraint,method,n_subgroups,valid_gap,cost_l1_gap,regret_gap,route_accuracy_gap
adult,7,3,exemplar_mismatch,r1_all_mutable,fixed_blend_no_repair,2,0.06481481481481477,0.7247873758438965,185.3132697254461,0.3333333333333333
adult,7,3,exemplar_mismatch,r1_all_mutable,knn_mean_k5,2,0.0,0.6573371249065936,249.97849362580294,
adult,7,3,exemplar_mismatch,r1_all_mutable,learned_alpha,2,0.06481481481481477,1.110984124203724,183.34704338795393,0.19444444444444442
adult,7,3,exemplar_mismatch,r1_all_mutable,learned_router,2,0.09027777777777779,0.41265572877692236,158.63896388323377,0.12731481481481483
adult,7,3,exemplar_mismatch,r1_all_mutable,learned_router_no_geometry,2,0.2152777777777778,0.9998100456466026,35.09294569075553,0.12731481481481483
adult,7,3,exemplar_mismatch,r1_all_mutable,learned_router_no_shift,2,0.16435185185185186,0.2991203508962945,85.32175363629575,0.12731481481481483
adult,7,3,exemplar_mismatch,r1_all_mutable,nn_positive_train,2,0.0,1.0708445722800857,250.48198418187386,
adult,7,3,exemplar_mismatch,r1_all_mutable,projection_only,2,0.3449074074074074,0.3133842134646739,95.94089481778917,0.09027777777777779
adult,7,3,exemplar_mismatch,r1_all_mutable,rule_router,2,0.3449074074074074,0.3133842134646739,95.94089481778917,0.09027777777777779
adult,7,3,exemplar_mismatch,r1_all_mutable,safe_router,2,0.19675925925925924,0.0,248.7191237105718,0.11574074074074076
adult,7,3,exemplar_mismatch,r1_all_mutable,utility_router,2,0.25,0.5132918025889444,1.195693845570771,0.2222222222222222
adult,7,3,exemplar_mismatch,r1_all_mutable,utility_router_no_geometry,2,0.25,0.5132918025889444,1.195693845570771,0.25925925925925924
adult,7,3,exemplar_mismatch,r1_all_mutable,utility_router_no_shift,2,0.25,0.5132918025889444,1.195693845570771,0.14814814814814814
adult,7,3,exemplar_mismatch,r2_realistic,fixed_blend,2,0.125,0.6245825964717957,0.11047907680166436,0.20833333333333331
adult,7,3,exemplar_mismatch,r2_realistic,fixed_blend_no_repair,2,0.06018518518518523,0.4367954641140912,186.20565769948143,0.20833333333333331
adult,7,3,exemplar_mismatch,r2_realistic,knn_mean_k5,2,0.0,0.3263215376816273,125.88238660757625,
adult,7,3,exemplar_mismatch,r2_realistic,learned_alpha,2,0.06481481481481477,0.831542721330989,59.8310946129443,0.21990740740740744
adult,7,3,exemplar_mismatch,r2_realistic,learned_router,2,0.0023148148148147696,0.9148046285583029,122.26011895318949,0.06481481481481483
adult,7,3,exemplar_mismatch,r2_realistic,learned_router_no_geometry,2,0.03935185185185186,0.19571961968641638,85.97595158362789,0.10185185185185186
adult,7,3,exemplar_mismatch,r2_realistic,learned_router_no_shift,2,0.03935185185185186,0.4991872599975018,85.66129957475916,0.06481481481481483
adult,7,3,exemplar_mismatch,r2_realistic,nn_positive_train,2,0.0,0.5726327378675791,126.14631113212332,
